ไม่ทราบว่า จะติดต่ออาจารย์xได้ยังไง,ข้อมูล-คน,1,,1สถานที่
ไม่ทราบว่า จะติดต่ออ.xได้ยังไง,ข้อมูล-คน,1,,1สถานที่
ไม่ทราบว่า จะติดต่อด๊อกเตอร์xได้ยังไง,ข้อมูล-คน,1,,1สถานที่
ไม่ทราบว่า จะติดต่อดร.xได้ยังไง,ข้อมูล-คน,1,,1สถานที่
จะติดต่ออาจารย์xได้ยังไง,ข้อมูล-คน,1,,1
จะติดต่ออ.xได้ยังไง,ข้อมูล-คน,1,,1
จะติดต่อด๊อกเตอร์xได้ยังไง,ข้อมูล-คน,1,,1
จะติดต่อดร.xได้ยังไง,ข้อมูล-คน,1,,1
อาจารย์xอยู่ไหมครับ,บุคคล,1,
อาจารย์xอยู่ไหมคะ,บุคคล,1,
อ.xอยู่ไหมครับ,บุคคล,1,
อ.xอยู่ไหมคะ,บุคคล,1,
คุณxอยู่ไหมครับ,บุคคล,1,
คุณxอยู่ไหมคะ,บุคคล,1,
ด๊อกเตอร์xอยู่ไหมครับ,บุคคล,1,
ด๊อกเตอร์xอยู่ไหมคะ,บุคคล,1,
ดร.xอยู่ไหมครับ,บุคคล,1,
ดร.xอยู่ไหมคะ,บุคคล,1,
อาจารย์xอยู่ไหนครับ,สถานที่-คน,1,1สถานที่
อาจารย์xอยู่ไหนคะ,สถานที่-คน,1,1สถานที่
อ.xอยู่ไหนครับ,สถานที่-คน,1,1สถานที่
อ.xอยู่ไหนคะ,สถานที่-คน,1,1สถานที่
คุณxอยู่ไหนครับ,สถานที่-คน,1,1สถานที่
คุณxอยู่ไหนคะ,สถานที่-คน,1,1สถานที่
ด๊อกเตอร์xอยู่ไหนครับ,สถานที่-คน,1,1สถานที่
ด๊อกเตอร์xอยู่ไหนคะ,สถานที่-คน,1,1สถานที่
ดร.xอยู่ไหนครับ,สถานที่-คน,1,1สถานที่
ดร.xอยู่ไหนคะ,สถานที่-คน,1,1สถานที่
ไม่ทราบว่า จะติดต่ออาจารย์xได้ที่ไหน,สถานที่-คน,1,1สถานที่
ไม่ทราบว่า จะติดต่ออ.xได้ที่ไหน,สถานที่-คน,1,1สถานที่
ไม่ทราบว่า จะติดต่อด๊อกเตอร์xได้ที่ไหน,สถานที่-คน,1,1สถานที่
ไม่ทราบว่า จะติดต่อดร.xได้ที่ไหน,สถานที่-คน,1,1สถานที่
ห้องอ.xอยู่ไหน,สถานที่-คน,1,1
ห้องอ.xอยู่ทางไหน,สถานที่-คน,1,1
ห้องอาจารย์xอยู่ไหน,สถานที่-คน,1,1
ห้องอาจารย์xอยู่ทางไหน,สถานที่-คน,1,1
ห้องดร.xอยู่ไหน,สถานที่-คน,1,1
ห้องดร.xอยู่ทางไหน,สถานที่-คน,1,1
ห้องด๊อกเตอร์xอยู่ไหน,สถานที่-คน,1,1
ห้องด๊อกเตอร์xอยู่ทางไหน,สถานที่-คน,1,1
ห้องyอยู่ไหน,สถานที่-สถานที่,,1
ห้องyอยู่ไหนหรอ,สถานที่-สถานที่,,1
ห้องyไปทางไหน,สถานที่-สถานที่,,1
ห้องyไปทางไหนหรอ,สถานที่-สถานที่,,1
อาจารย์xอยู่ชั้นไหน,สถานที่-คน,1,1
อ.xอยู่ชั้นไหน,สถานที่-คน,1,1
อ.xอยู่ชั้นไหน,สถานที่-คน,1,1
คุณxอยู่ชั้นไหน,สถานที่-คน,1,1
ดร.xอยู่ชั้นไหน,สถานที่-คน,1,1
ด๊อกเตอร์.xอยู่ชั้นไหน,สถานที่-คน,1,1
xอยู่ชั้นไหน,สถานที่-คน,1,1
ขอเข้าห้องyหน่อยครับ,สถานที่-สถานที่,,1
ไม่ทราบว่าห้องyอยู่ทางไหนหรอครับ,สถานที่-สถานที่,,1
ไม่ทราบว่าห้องyอยู่ไหนหรอครับ,สถานที่-สถานที่,,1
โทษนะ มีห้องyไหม,สถานที่-สถานที่,,1
