ไม่ทราบว่าจะติดต่ออาจารย์สยามได้ที่ไหน,ข้อมูล-คน,Yes,No,Yes
ติดต่ออาจารย์แพรวได้อย่างไร,ข้อมูล-คน,Yes,No,Yes
ติดต่ออาจารย์อ้อมได้ยังไง,ข้อมูล-คน,Yes,No,Yes
ติดต่อดอกเตอร์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
ติดต่อดรได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่อดรต้นได้ที่ไหน,ข้อมูล-คน,Yes,No,Yes
จะติดต่อดอกเตอร์ชิดได้ที่ไหน,ข้อมูล-คน,Yes,No,Yes
จะติดต่ออาจารย์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่ออาจารย์อย่างไร,ข้อมูล-คน,Yes,No,Yes
จะติดต่ออาจารย์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่อดอกเตอร์ได้ยังไง,ข้อมูล-คน,Yes,No,Yes
จะติดต่อดรได้ยังไง,ข้อมูล-คน,Yes,No,Yes
รู้จักอาจารย์ไหม,รู้จัก,No,Yes,No
รู้จักครูไหม,รู้จัก,No,Yes,No
รู้จักดรไหม,รู้จัก,No,Yes,No
รู้จักด๊อกเตอร์ไหม,รู้จัก,No,Yes,No
รู้จักคุณไหม,รู้จัก,No,Yes,No
รู้จักพี่ไหม,รู้จัก,No,Yes,No
รู้จักน้องไหม,รู้จัก,No,Yes,No
รู้จักไหม,รู้จัก,No,Yes,No
อาจารย์อยู่ไหม,ข้อมูล-คน,Yes,No,No
อาจารย์อยู่ไหม,ข้อมูล-คน,Yes,No,No
อาจารย์อยู่ไหม,ข้อมูล-คน,Yes,No,No
อาจารย์อยู่ไหม,ข้อมูล-คน,Yes,No,No
คุณอยู่ไหม,ข้อมูล-คน,Yes,No,No
คุณอยู่ไหม,ข้อมูล-คน,Yes,No,No
ดอกเตอร์อยู่ไหม,ข้อมูล-คน,Yes,No,No
ดอกเตอร์อยู่ไหม,ข้อมูล-คน,Yes,No,No
ดรอยู่ไหม,ข้อมูล-คน,Yes,No,No
ดรอยู่ไหม,ข้อมูล-คน,Yes,No,No
อาจารย์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
อาจารย์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
อาจารย์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
อาจารย์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
คุณอยู่ไหน,ข้อมูล-คน,Yes,Yes,No
คุณอยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ดอกเตอร์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ดอกเตอร์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ดรอยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ดรอยู่ไหน,ข้อมูล-คน,Yes,Yes,No
รู้จักอาจารย์ไหม,รู้จัก,No,Yes,No
รู้จักครูไหม,รู้จัก,No,Yes,No
รู้จักดรไหม,รู้จัก,No,Yes,No
รู้จักด๊อกเตอร์ไหม,รู้จัก,No,Yes,No
รู้จักคุณไหม,รู้จัก,No,Yes,No
รู้จักพี่ไหม,รู้จัก,No,Yes,No
รู้จักน้องไหม,รู้จัก,No,Yes,No
รู้จักไหม,รู้จัก,No,Yes,No
ไม่ทราบว่า จะติดต่ออาจารย์ได้ที่ไหน,ข้อมูล-คน,Yes,Yes,No
ไม่ทราบว่า จะติดต่ออาจารย์ได้ที่ไหน,ข้อมูล-คน,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดอกเตอร์ได้ที่ไหน,ข้อมูล-คน,Yes,Yes,No
ไม่ทราบว่า จะติดต่อดรได้ที่ไหน,ข้อมูล-คน,Yes,Yes,No
ห้องอาจารย์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ห้องอาจารย์อยู่ทางไหน,ข้อมูล-คน,Yes,Yes,No
ห้องอาจารย์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ห้องอาจารย์อยู่ทางไหน,ข้อมูล-คน,Yes,Yes,No
ห้องดรอยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ห้องดรอยู่ทางไหน,ข้อมูล-คน,Yes,Yes,No
ห้องดอกเตอร์อยู่ไหน,ข้อมูล-คน,Yes,Yes,No
ห้องดอกเตอร์อยู่ทางไหน,ข้อมูล-คน,Yes,Yes,No
ห้องน้ำอยู่ไหน,สถานที่-สถานที่,No,Yes,No
ห้องน้ำอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
ห้องน้ำไปทางไหน,สถานที่-สถานที่,No,Yes,No
ห้องน้ำไปทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
อาจารย์อยู่ชั้นไหน,ข้อมูล-คน,Yes,Yes,No
อาจารย์อยู่ชั้นไหน,ข้อมูล-คน,Yes,Yes,No
อาจารย์อยู่ชั้นไหน,ข้อมูล-คน,Yes,Yes,No
คุณอยู่ชั้นไหน,ข้อมูล-คน,Yes,Yes,No
ดรอยู่ชั้นไหน,ข้อมูล-คน,Yes,Yes,No
ดอกเตอร์.อยู่ชั้นไหน,ข้อมูล-คน,Yes,Yes,No
อยู่ชั้นไหน,ข้อมูล-คน,Yes,Yes,No
ขอเข้าห้องน้ำหน่อย,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ทางไหนหรอ,สถานที่-สถานที่,No,Yes,No
ไม่ทราบว่าห้องน้ำอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
โทษนะ มีห้องน้ำไหม,สถานที่-สถานที่,No,Yes,No
ห้องน้ำอยู่ไหน,สถานที่-สถานที่,No,Yes,No
ห้องน้ำอยู่ไหนหรอ,สถานที่-สถานที่,No,Yes,No
